0,1,2,3,4,5,6,8,10,11,12,13,14,15,16,17,18,sex
18,3,3,2,0,0,1,0,1,0,4,1,4,1,1,3,8,1
17,3,3,2,0,1,1,0,1,0,5,3,3,1,1,5,0,1
17,4,4,2,0,0,1,1,1,0,4,4,4,1,3,5,0,0
17,3,2,2,0,0,1,0,1,1,4,3,2,2,3,2,0,1
20,2,1,2,0,0,1,1,1,1,1,2,3,1,2,2,8,1
16,4,4,2,0,0,1,0,0,0,5,3,2,1,3,2,5,0
16,4,4,1,0,0,0,1,1,0,5,3,2,1,2,5,4,0
17,3,1,3,0,0,1,0,1,0,3,4,3,2,3,5,0,1
17,4,4,2,0,0,1,0,1,0,3,3,3,2,3,4,0,0
15,2,2,2,0,1,1,0,1,0,4,1,3,1,3,4,0,1
17,1,3,1,0,0,0,1,0,1,5,1,2,3,3,5,2,0
15,2,3,1,0,0,1,1,0,0,3,5,1,1,1,5,4,1
17,0,2,3,0,0,0,0,1,0,3,3,3,2,3,2,0,1
15,1,1,1,1,0,1,0,0,1,4,1,3,1,1,2,6,1
18,2,2,3,0,0,1,1,1,1,4,3,3,1,1,3,0,1
17,4,4,3,0,0,1,0,1,1,4,3,3,1,2,4,4,1
18,1,2,2,1,0,1,1,1,1,3,4,4,2,3,5,9,1
16,1,2,1,0,0,0,0,0,0,4,4,4,2,4,5,4,0
17,2,4,2,0,0,1,1,0,0,5,4,2,2,3,5,0,1
19,2,1,1,0,0,0,0,1,0,5,3,4,1,4,4,10,0
16,1,1,2,0,0,1,0,0,0,5,3,2,1,1,1,0,1
18,2,3,1,0,0,0,0,1,0,3,1,3,4,5,4,13,0
18,4,4,2,0,0,0,1,1,0,4,3,4,2,2,4,8,1
17,2,1,2,0,0,0,1,1,1,5,3,3,1,2,2,5,1
17,2,2,3,0,0,0,1,0,1,3,4,3,1,1,3,8,1
16,3,3,2,0,0,1,0,0,0,4,3,2,1,2,5,0,1
18,1,2,1,0,0,1,1,1,1,4,3,3,2,3,3,3,0
17,2,3,1,0,0,1,0,1,0,5,5,5,1,3,3,2,1
16,4,1,2,0,0,0,1,1,1,5,3,3,1,2,5,0,1
15,4,4,1,0,0,0,1,1,0,4,3,2,1,1,5,6,1
16,3,4,2,0,0,0,0,0,0,3,4,5,1,2,5,4,0
15,3,3,1,0,0,0,0,1,0,5,3,4,4,4,1,0,1
18,2,2,2,0,0,1,1,1,0,4,4,4,1,3,3,11,0
16,2,3,2,0,1,0,0,1,0,2,3,1,1,1,3,0,1
18,2,2,2,0,1,0,0,0,0,3,2,3,1,1,5,4,1
18,4,3,3,0,0,1,1,1,1,4,3,4,1,1,5,2,1
17,1,1,1,0,0,1,1,1,1,4,5,5,1,3,2,0,0
18,1,3,2,0,0,1,0,0,0,3,3,4,2,4,3,0,0
18,3,2,2,0,0,0,0,1,1,4,1,1,1,1,5,15,1
15,4,3,4,0,1,1,0,1,0,2,2,2,1,1,3,6,0
18,2,1,1,0,0,0,1,1,1,4,4,3,1,3,5,0,0
17,1,0,2,0,0,0,0,1,1,4,4,5,1,1,4,1,1
17,3,2,1,3,0,1,1,1,0,5,5,5,2,4,5,2,0
16,2,1,2,0,0,1,0,0,1,4,3,5,1,1,5,0,1
15,4,4,2,0,0,1,0,1,0,5,4,2,3,4,5,0,0
17,4,4,2,0,1,1,0,0,0,4,1,4,1,1,1,2,1
18,3,3,4,0,0,1,0,1,0,5,3,3,1,1,1,4,1
17,2,4,2,0,0,0,1,1,1,4,3,2,1,1,5,8,1
16,1,1,4,0,0,1,0,1,0,4,3,2,1,1,1,0,1
15,3,4,2,0,0,1,0,0,1,5,3,3,1,1,5,2,0
15,2,1,1,0,0,1,1,1,1,4,4,2,1,1,5,0,1
16,2,2,1,0,0,1,1,0,1,4,2,5,1,2,5,0,1
18,3,3,2,0,0,1,0,1,0,3,2,4,2,4,4,10,0
18,4,3,4,0,0,1,0,1,0,4,3,3,1,1,3,0,1
15,1,2,1,0,0,0,1,0,0,4,4,4,2,4,5,2,0
15,3,1,1,0,0,1,0,0,0,3,2,3,1,3,4,0,0
16,2,2,2,0,0,0,0,1,1,5,4,4,1,1,5,0,1
15,2,1,2,0,0,0,1,1,1,5,4,2,1,1,5,4,0
17,4,3,2,0,0,0,1,1,1,3,2,3,1,2,3,0,1
